ds,trend,yearly,yhat,yhat_lower,yhat_upper
2023-01,7722.0111138254015,-8756.70115903524,10737.140056703163,5537.756734360574,16006.00707160113
2023-02,7728.894445837807,2846.8622560832846,10575.756701921091,5217.144947785545,15627.866562440013
2023-03,7735.11164809554,-2955.1917795000613,4779.919868595478,2.3359163623995034,9905.03144727112
2023-04,7741.9949791665995,2192.636571414926,9934.631550581526,4622.850775235314,15088.242422940744
2023-05,7748.65626758093,-50682.984330625106,15751.606683499833,10760.744235316333,21188.441214043985
2023-06,7755.539599355317,3433.7913570843953,11189.330956439711,5983.297688191902,16436.238107957626
2023-07,7762.200888469532,-2775.4330073490514,4986.7678811204805,-270.1945574884337,10447.483296549739
2023-08,7769.084221006452,3159.69533070764,10928.779551714091,5799.289025501392,16534.420993423242
2023-09,7775.967553543372,-2700.118898961373,5075.848654581999,-144.668174553538,10716.081081404267
2023-10,7782.628843297168,48288.386585581284,11145.102583817647,5993.679973072823,16643.581804007084
2023-11,7789.512175166756,2016.8229248850835,9806.33510005184,4678.0919136959,14948.073272126507
2023-12,7796.173463290799,-2303.164206438679,5493.00925685212,234.09330707432798,11069.017132856692
2024-01,7803.056794352311,-11502.860805911676,8072.026090353637,2868.398033903856,13712.267755283265
2024-02,7809.940124695095,5920.856325139414,13730.79644983451,8313.5911954334,18688.119721249295
2024-03,7816.379368618403,-333.77152212620985,7482.607846492193,2010.221718274339,12614.28446222467
2024-04,7823.262698244715,8158.896153027729,15982.158851272445,11010.554025632102,21195.68053043211
2024-05,7829.923985170557,-59501.070042401734,7014.788689312834,1635.2842572317015,12516.989630770098
2024-06,7836.807314993928,1532.2097749258444,9369.017089919773,4319.7121727209815,14909.440759551479
2024-07,7843.46860218496,3804.9757753419426,11648.444377526903,6553.808546569062,16849.267194144257
2024-08,7850.35193183571,2769.507609763973,10619.859541599682,5367.660949528229,15886.74261843806
2024-09,7857.235260760066,4564.713564561043,12421.94882532111,6959.310358553988,17300.844967792546
2024-10,7863.896546625986,38337.474086118906,15360.648943722892,9736.430682366943,20870.39737952465
2024-11,7870.779875354104,-1100.4034226448084,6770.376452709295,1161.213409684109,11896.478626877848
2024-12,7877.441161036061,1142.8561177784325,9020.297278814494,4026.777323780566,14100.786731485807
2025-01,7884.324489328212,-3114.1897610778733,16541.964830163342,11149.31819168716,21404.152486268562
2025-02,7891.2078174356,-3210.9372814864078,6850.808320330173,1989.8872738786845,12350.772876612937
2025-03,7897.425017016467,-1164.4676542805985,6732.957362735869,1436.5656681304638,12065.428575617254
2025-04,7904.308344944616,6139.390140418785,14043.698485363402,8909.288062801465,19198.215268878812
2025-05,7910.969630082012,-56609.51325859858,9987.391118027448,4561.714274355483,15010.104412212746
2025-06,7917.852958797958,2239.9559213624493,11015.627222142268,5844.88529029828,16352.277832321277
2025-07,7924.51424537778,1634.1360368233725,9558.650282201152,4159.268941702082,14151.607914914171
2025-08,7931.397574843594,2891.0027224695973,10539.389756242032,5453.472510555944,15579.884726937695
2025-09,7938.280903519699,2080.513704912496,9735.784067361035,4484.588037739139,14945.662682815026
2025-10,7944.942189768859,41631.522806022454,18452.73276569815,13005.016900167555,23598.539031896486
2025-11,7951.825518892991,-7.66504297501244,7661.149934846818,2672.3809122476287,13161.48505373346
2025-12,7958.486805142151,46.042454677858736,7721.51871874885,2488.4550523297626,13288.622869444433
2026-01,7965.370134266283,-5959.556861367783,13494.63283374034,8200.587040722176,18544.656423387612
2026-02,7972.253463390415,-197.93494500214845,7491.307977317107,1912.4298395015865,12584.384518650088
2026-03,7978.4706638896305,-2038.5566083037977,5656.903514514673,252.9346117320575,11033.889088806523
2026-04,7985.353993013763,4149.953345630965,11852.296797573568,6606.7564489956785,17168.082939406042
2026-05,7992.015279262922,-53669.11584246918,12725.82364226659,7568.001540002887,18328.65309929853
2026-06,7998.898608387055,2874.266149426315,10590.15421674221,5645.079097155013,15906.028832299839
2026-07,8005.559894636215,-560.1573044468989,7162.392049118156,1792.2877283200257,12322.663915644824
2026-08,8012.443223760347,3020.6811983009197,10750.113880990106,5486.2255764533,15603.670695990673
2026-09,8019.326552884479,-341.67583274478903,7394.6401790685295,1877.2574660142466,12423.842706734495
2026-10,8025.987839133639,44949.71795603499,21851.973565075466,16543.797932427304,26959.19699806261
2026-11,8032.8711682577705,1031.9460333237516,8781.806660510363,3565.476661166372,13816.50330916573
2026-12,8039.532454506931,-1103.2543459556166,6653.267567480154,1223.733957279024,11865.249321553987
2027-01,8046.415783631062,-8756.701159015527,10778.534185457376,4978.869313299539,15728.269476315068
2027-02,8053.299112755195,2846.862256039072,10617.150827723106,5022.969963132213,16014.187659794372
2027-03,8059.51631325441,-2955.1917795127442,4821.313992670506,-684.5777801714278,9647.997625021686
2027-04,8066.399642378543,2192.6365714247004,9976.025672732083,5015.23864410156,15117.187983435337
2027-05,8073.060928627703,-50682.98433063035,15793.000803470204,10382.712817389904,21088.05037433285
2027-06,8079.944257751835,3433.7913570611286,11230.725073741803,5762.0623229718485,16611.919686975474
